標籤,關鍵字
1,您的帳單已經逾期未繳尚未收到您的繳款，本公司將立即停機，請立即繳款，如有疑問請按9轉客服，會幫你設定詐騙連線，連線後直接按165就會轉到警政署，開立報案三聯單，把三聯單傳真給中華電信就能夠不被收取這筆費用。
1,為了確保您的個人資料避免遭歹徒冒用，請您進盡快轉帳，也怕危及存款帳戶安全
1,您涉嫌人頭戶洗錢犯罪
1,我是地檢署檢察官需要你配合我們偵查，且偵查不公開，不能告訴家人或親友目前的狀況。
1,歹徒在報紙刊登廣告或散發傳單，宣稱可幫助民眾貸款、加盟、購買法拍物等，要求被害人先行至其指定銀行開戶，存入相當之權利金或保證金，並設定電話語音約定轉帳帳戶（網路銀行服務及語音查詢帳戶餘額），然後歹徒再要求被害人提供語音查詢餘額密碼及身分證件、地址等相關資料以便確認，利用電話語音轉帳功能（網路電子交易）將被害人之存款轉帳領走。
1,利用他人迷信心理，以鬼神之說恐嚇受害人，再偽稱能為人作法、消災、去厄、解運、祈福等；或以提供命相、卜卦等勞務，遂其「騙財騙色」之目的；或以建廟、建寺等為名，向信徒募款詐財。
1,如假冒司法調查人員收取紅包；冒用警察身分臨檢或辦案斂財；假藉公益團體騙取善款；假藉社工發放老人年金之名，騙取存摺、印章進而盜領存款；冒充星探向欲往演藝界發展少女，騙財騙色等皆是。
1,以投資公司名義，辦理投資講座，吸收追求高薪和喜好投資理財的年輕學子和社會新鮮人投入，以提供「外匯保證金交易」能夠獲取厚利為餌，慫恿不知情的客戶，下海加入外匯、期貨交易買賣，由客戶與該投資公司，進行非法外匯、期貨對賭，利用不實操縱的外匯、期貨行情變動詐騙客戶，讓客戶血本無歸。
1,利用民眾迷信心理，以命相、排流年、看風水，消災、解厄、改運、造墳為名騙取高額費用。
1,詐騙集團假冒國稅局、勞保局、中華電信公司等機關名義，發手機簡訊或打電話聯絡被害人，佯稱將核退被害人一筆稅款、勞保費或電話費，要求被害人利用提款機轉帳方式辦理「退稅（費）」手續，詐騙集團再騙得被害人依指示輸入之「密碼」後，即將被害人帳戶內存款轉匯到詐騙集團虛設之人頭帳戶內。
1,歹徒假冒銀行名義，通知被害人個人資料業經外洩，要求被害人聽從指示至提款機更改密碼；被害人基於恐懼憂慮，信以為真，即至提款機前按照歹徒的指示，逐步變更、重新輸入，將帳戶內存款轉匯到詐騙集團虛設之人頭帳戶內。
1,詐騙集團以「兒子、女兒」被綁架打給父母，讓父母立刻轉帳高額金錢以贖回子女
1,你好請問是先生嗎？請您按照指示寄送個人存摺、金融卡及密碼，要做為薪資帳戶的依據
1,請提供我金融卡背面的客服電話將由銀行人員與您聯繫
1,為避免帳戶被鎖請提供我銀行帳路及信用卡資訊
1,購物個資洩漏導致訂單錯誤請提供資料核對
1,為了解除錯誤設定請告知我簡訊驗證碼協助關閉交易
1,因電商業者個資外洩，導致您的訂單錯誤，需核對您的基本資料。請提供您的個人銀行帳號、信用卡資訊並接收簡訊驗證碼，將協助您取消錯誤設定。
1,我是檢察官，你涉及洗錢犯罪，現在要監管你的帳戶
1,您上次網購因為作業疏失，已設定分期付款，會重複扣款，連續扣12期
1,您曾接觸確診者被匡列，請您提供姓名、電話號碼、生日、以及身分證號碼，還有全家人的姓名
1,您曾經在博客來購買書，因此中大獎，需先付稅金才能領取獎品
1,我是那個舅公阿，我最近急需用錢，可不可以借一點小錢，改天再還你
1,這裡是新北市警察署，因為你涉及擄車恐嚇案件，帳戶的錢會被凍結，請您提供提款卡及密碼裝袋密封，會派監管科去拿
1,我是玉山銀行行員，你的信用卡被盜刷，還要你提供個人資訊來核對資料
1,這裡是XX商店，您曾在幾月幾號訂購一件褲子，現在因為人員操作失誤，每個月會自動扣款購買一件褲子，要請您到銀行那邊去申請停止付款，待會銀行會打給你，麻煩你接電話
1,必須實名制認證，請你打開網路銀行，幫我確認資料，給我你的帳戶前4碼以及餘額
1,你的帳戶需滿三萬塊才能簽署協議，這是我們銀行的規定，看你是要跟家人借錢還是朋友，等你開通完之後，錢再還朋友就可以了
1,請你打開台幣轉帳介面，這是為了送出去審核你的資料核對
1,銀行伺服器有問題，那這邊做一下處理
1,如果你覺得很可疑的話，可以輸入金額後三碼就好
1,如果要開通這個協議，必須要先暫時不能提款跟匯款
1,你的銀行帳戶目前被凍結了，要等到晚上12點才能轉給你錢
1,你匯款完成之後會給你一組驗證碼，到時候再告訴我驗證碼是多少，我要輸入做確認
1,你是不是在網站上面是會員，因為這邊系統錯誤、駭客入侵，有可能會會員被信用卡多扣錢，我現在幫你從銀行那邊取消付款
1,不能掛電話，我們會錄音，要不然會證明你那邊去做中斷
1,麻煩你去ATM操作
1,我們是電影院，目前系統出現難得一見的錯誤狀況，自動把你加入會員付費一年一萬塊，在晚上12點以前沒有取消這個會員資格的話，就會幫你付款
1,請問是用哪家銀行，那我會通知台新的專員
1,現在要確認你的個人資料，麻煩你從app做個人資料認證
1,麻煩你確認你的餘額是多少，並且告訴我，還有你的轉帳額度
1,我們現在先幫你核對個人資料，在轉帳帳號輸入你的身分證字號，金額隨便打，匯款完成後會出現錯誤代碼，這是正常的
1,怎麼會成功匯款？你是不是沒有照我的話去做
1,阿嬤，我是你兒子，我撞死外交官要付兩萬多美金
1,剛剛專員說你被博客來多訂商品，不是你要做消費，要托我們銀行做取消對嗎
1,你有查到你的帳戶還沒被扣款對不對，沒關係，你有開通網路銀行，那就幫我到網路銀行去傳輸你的身分證字號，那我們這邊有接收到就能幫你做取消，取消完成都不會跟你收手續費，沒有跟業者扣款到就沒有問題
1,網路銀行現在是登入的嗎？有個轉帳功能有看到嗎，個資幫你做轉出取消，進去有非約定有看到嗎
1,銀行代碼選006就可以，因為你今天是第六個做取消，輸入006就可以，合作金庫代號不管她沒有關係
1,送出後他是不是交易不成功，他是顯示什麼給你，沒有這個帳號，對，因為是輸入身分證字號進行傳輸，
1,轉帳金額輸入業者幫你多訂的30筆訂單，輸入30
1,剛有做餘額查詢確認金額沒有被扣款到對不對，那就是之後都不會被扣款到，業者的疏失我們也會幫忙賠償
1,你個資現在是打開的，你不用擔心我們會幫你做一個關閉，關閉成功之後就不會被盜領盜用
1,我們有一組關閉條碼跟關閉帳戶金額，關閉成功後請你做個登出，登出完後再幫我登入看數據有沒有恢復
1,你先把網銀登出，我查看一下是不是關閉條碼出錯才會誤轉到，我趕緊做查詢，有扣款的部分會馬上幫你退款，電話先不要掛
1,可能是網銀有設定時間，剛好時間到按送出才誤扣到你帳戶金額，你不用擔心這邊都有查到，趕緊幫你做退款
1,那在退款前我們會幫你把帳戶做個清除，幫你清除之後數據全部幫你還原
1,先幫你網銀額度做個關閉，待會才不會清除到你帳戶的額度
1,這裡全部清除之後，再請你做餘額查詢，看是不是原始金額，原始金額我都有幫你登記，真的不好意思，可能系統出錯了幫你誤扣到，現在趕緊幫你做後續處理
1,電話不要掛我跟金融單位說一下
1,錢是滯留，我們幫你做辦理，不是被盜領盜用，不用擔心哦
1,這邊是國稅局，你的稅已經報完了，今年有一個額度可以退錢，要直接轉到你的帳戶嗎？還是要直接去國稅局領
1,那我就把退稅轉到你這個帳戶，等下會有銀行專員打來跟你確認資料
1,我是蝦皮商城客服，要徵詢你的意見，需不需要加入高級會員，加入的話需要繳會費，一共六千元
1,你有訂購這件商品，可是我發現你被重複扣款多訂購十二組商品，我們公司有發現你是普通消費客戶，可以設定取消
1,先生你好，我剛剛有收到電傷的通知，說你的信用卡有被盜刷的情況，那我再次跟你確認是不是沒有做這筆消費
1,因為你在開戶的時候都有簽署保密協議，因為銀行裡面的後台是保密性很高，我需要跟你核對你的身分確認個人資料
1,那你是XX銀行的客戶，請你告訴我存摺前四碼，是不是在我們的XX銀行開戶，
1,銀行的隱私法規真的很嚴格，沒有你的授權我們是沒有辦法幫你做帳單取消，我本身沒有這個權限，所以請值班的經理跟你談，他會在跟你核對資料，確認之後就會幫你做這個盜刷取消的一個動作，
1,先生我知道這件事對你造成麻煩，如果一開始跟你通話的電商，相要給你補償金，請先生千萬不要收，如果收了就代表你跟電商和解了，之後可能會有法律訴訟，但如果已經收到他的補償金，可能就被電商逃過法律訴訟
1,因為隱私設定的關係，需要做線上的授權
1,打開網銀，可以看到目前存款多少
1,我大概跟你核對一下目前存款多少，不用講精確的數字，只是要做身分確認
1,您XX銀行目前的總資產大概是多少，我們後台也是顯示這樣的數據
1,需要你做線上授權的動作，請開轉帳介面，在轉帳帳號輸入身分證末九碼，
1,你好我們是電商，你多次訂購產品已經累積到一定的額度，我們想送贈品給你，請問你需要什麼樣的產品，我想要化妝品，好的那這件產品需要再付四千塊喔
1,媽，你趕快來救我，我被打了，需要四千萬他們才會放我走
1,我們是博客來，之前你在本網站上有訂購商品，因為系統錯誤幫你多下訂20組商品
1,必須跟著我們客服人員的指示，幫你做止付，如果沒有在指定時間完成，會導致你的帳戶被扣金額，
1,我們有跟銀行確認付款，但是銀行確確實實有這個付款流程
1,我會把文件傳真給你指定的那間銀行，那其他銀行也不會進行重複扣款
1,系統被駭客入侵，把你的訂單資料見盪在我們的團購客戶使用的文檔名單裡面，重複誤訂20筆，你需要這20筆訂單嗎
1,那我們賣家先開立一份緊急證明書，先幫你留下行庫，請銀行專員把這20幾個訂單的業務刪除取消就ok了
1,我們有跟全台108家金融單位合作，系統駭客入侵，擔心資料給你提交有誤，造成資料外洩，給你帶來生活上的困擾
1,信用卡背面有登記銀行對外公開的服務電話，請你看我們的服務電話是幾號，那我直接過服務電話，開立一份緊急證明書
1,請您5到10分鐘後，留意一下銀行專員的電話
1,這次作業上的疏失，有給您帶來不便的困擾，商店稍後會給你寄一封公開的道歉信函，還有兩張抵用券折價券作為補償
1,我們現在有規定，沒有辦法口頭取消任何業務，銀行個資他是連動全網的。
1,現在是非營業時間，銀行有提供兩種方式，第一種方式是拿著金融卡到附近的任何分行的ATM機台去做插卡，
1,明細表下來的話，跟您核對明細表的時間機號跟序號，
1,有申辦到行動網銀，手機APP的話，這樣會方便很多，也會節省你寶貴的時間，麻煩你透過網銀登入
1,把登入資訊傳送到雲端，如果雲端上面有回應，是本人做登入，那我們進行馬上連網
1,麻煩看你的帳戶末三碼
1,你在中華信託是一個帳戶，還是多個帳戶呢，有兩個的話，看一下另一個末三碼是多少
1,等下傳送訊息碼，所有訊息都必須吻合，才有辦法讀取身分訊息
1,看你的帳戶餘額現在顯示阿拉伯數字是多少
1,當初再申請帳戶的時候，資料填寫完畢後，它有一個個資保密選項欄位，在申請帳戶時，是不是有勾選到個資選項
1,開啟銀行的另一個跨行傳輸選項，來進入到取消系統碼
1,我們只是從這個轉帳的替代頁面，進入到我們的取消系統來開啟資料，它不是轉帳
1,看一下交易結果，是不是轉帳失敗9403，9403在我們業界就代表業務部份幫你做取消成功
1,建議你自己先把個人資料做一個關閉的動作，確保以後妳實卡上的安全，不會遭到網路駭客的入侵，或是造成人頭帳戶或者是偽卡，可能會涉及到刑責
0,你吃了嗎？等等午餐幫你買XX可以嗎？阿飲料要喝什麼？
0,小心騎車，路上小心
0,阿姨，給我兩千塊，我要繳學費、水電費
0,你好，我想要訂一杯珍珠奶茶正常糖正常冰，十分鐘過去拿
0,喂，你等下晚餐想吃什麼？麥當勞嗎，可以啊
0,喂，我匯兩萬生活費給你了，記得去看有沒有進帳，要記得吃飯，多喝熱水
0,你什麼時候有空，要不要去出去玩？
0,你爸爸出車禍了，快來慈濟醫院，他現在在加護病房
0,這裡是台電，請問是XXX嗎？您的電費帳單尚未繳納，請您於幾月幾號前繳費，謝謝
0,這裡是中華電信，請問是XXX嗎？您的電話費帳單尚未繳納，請您於幾月幾號前繳費，謝謝
0,你好，室經理嗎？我這週想要回老家可以請一週的假嗎？
0,孫子阿，最近颱風要來了，有沒有去超市補貨，多買點東西不要讓自己餓到喔
0,我最近運動後肌肉痠痛，你要不要陪我去按摩店全身按摩？
0,我看電影院有新出一片動作片，你要不要陪我去看？
0,你欠我的前要記得還欸，我把帳號line給你了，你改天再轉帳給我，我是中華信託，看你要不要用台灣pay轉
0,我把最新的報告ppt上傳到雲端上了，你幫我確認一下哪裡有錯字跟你修改的部分
0,你叫我幫你領貨，但是你沒告訴我電話末三碼欸
0,最近學校要辦社團博覽會，你要不要跟我一起去逛
0,當初說你會待我好有車有房，阿看看你現在的樣子，年薪20萬，我們是要怎麼結婚
0,你今天是不是又用我的卡清空你的購物車，帳單寄到我手機了，跟你說過多少次花錢克制點
0,完蛋，我今天不知道喝了什麼迷魂湯，用信用卡買了一個名牌包，可是它真的好美，我很需要它
0,都已經晚上12點了，你怎麼還沒回家，外面不安全快點回來
0,你好，我昨天有預約你們餐廳，張小姐，我想要取消訂位，因為臨時有其他事情
0,張小姐，你的文件務必準時繳交拜託，明天開會主任很需要那份文件，麻煩你今天加班也要趕出來
0,這個紙上面寫的是什麼字阿，是英文還是阿拉伯數字
0,你是不是說你想吃咖啡廳下午茶，那我們今天就去吃吧，你去打電話確認它有沒有客滿
0,我的工作是把客戶資料輸進資料庫內，確認有沒有打錯，薪水真好賺
0,你的臉書沒有登入欸，幫我登入一下，我想看你的臉書
0,線上申辦學貸很麻煩欸，還要找一台讀卡機，還不如花久一點時間去臨櫃申辦
0,你知道鄧麗君嗎？一代歌后名留青史，超厲害的
0,明天北車集合不要遲到了，十點十分喔東南出口集合
0,日幣最近大跌，要不要趁現在買一些等明年有特休出去玩
0,颱風來了，很多店家都沒開，要吃什麼，感覺有開的只剩麥當勞了
0,最近很常下雨要不要買那種鞋子防水套，或者是買一輛車代步還可以吹冷氣
0,房子一直漲價，感覺要買趁現在，不然以後更貴，阿我去問我爸可不可以借我頭期款的錢就好
0,斗六有什麼地方可以玩，鵝媽媽樂園我有聽說過，還是小孩子想去劍湖山
0,護照辦理我記得要帶雙證件過去，還有兩吋照片，去戶政事務所
0,我們是遠傳，你的月租費快要到期，麻煩你至門市內請人員幫你辦理續約
0,姑姑，我這裡有一些我去旅行買給你的名產想要給你，你什麼時候在家
0,媽媽，我下課了，我在校門口等你來接我
0,你好請問是機車店嗎？我的機車拋錨了，要請你來載，在文安路全家這邊，好的謝謝
0,喂，阿忠，你最近過的怎麼樣阿，阿有賺錢嗎，我早就跟你說你做那行不會賺錢了，我們這邊剛好缺人你要不試著做看看
0,哥，你的ps5包裹到了，我等不及就先拆來玩看看了，別怪我
0,寶貝，幾點下班，我過去載你
0,老公，你晚餐想吃什麼，我現在在超市給你買回去，糖醋排骨嗎
0,老婆，媽今天跟我說要找一個時間回家看她，還說要帶你一起，你可以嗎
0,我們才交往不到一年吧，我覺得有點太快了，你想個理由去回絕她
0,兒子今天在學校被霸凌了，我今天也去學校找老師討個說法，但對方孩子不道歉，老公你覺得怎麼辦才好
0,今天女兒的學費帳單來了，我繳完了，私立真的是很貴，但是這也是為了她的未來著想
0,今天經理因為一些雞毛蒜皮的小事把我罵 了一頓，白癡經理，誰會去注意那種事，他就是把我當出氣筒
0,最近公司完成了一筆大單，大家想要開慶功宴，你要來嗎？應該會去烤肉吃到飽
0,老闆，對不起我確診了，想跟你請三天假，如果還沒好我就繼續請，我也不知道我什麼時候能上班，快篩陰性我再跟你講
0,老闆娘我要一個玉米蛋餅小杯冰紅茶，等下過去拿
0,喂，我媽媽突然倒地，麻煩你派救護車到以下地址，需要多久時間
0,你好我們這裡是台大醫院，請問是謝小姐嗎，你在幾月幾號有預約手術，想請問您有要對手術日期做變更嗎，沒問題的話麻煩您準時到手術室做預備
0,這裡是壽司郎，請問是楊先生嗎？我們預計七月在斗六開店，想請問你有目前有工作嗎？是否有意願當我們的員工
0,早安午安晚安寶貝，今天要一起去吃飯嗎，還是要逛街
0,姊姊，我有預約牙醫載我去看，在哪裡？
0,你好我想預約7月26號的陳醫師下午3點，請問可以嗎，不好意思陳醫師那天無法出診，換個醫生可以嗎
0,暑假快到了，你最想去哪個城市旅遊？我想跟你一起去旅行，出國也可以，或者是去離島玩
0,你是一個感性的人還是理性的人？
0,我最近在聽日文歌有什麼推薦的嗎？當然！如果你最近對日文歌感興趣，這裡有一些推薦的日本歌手和歌曲，希望你會喜歡：米津玄師或是織部里沙，這只是其中一部分日本歌手和歌曲，希望你會喜歡並且開始探索更多日本音樂的世界！
0,你最近有什麼特別的興趣或愛好嗎？是什麼啟發你對這個興趣產生興趣的呢？我最近喜歡玩apex，朋友有玩他邀請我就跟著玩了，很棒！Apex Legends是一款非常受歡迎的多人射擊遊戲，它結合了戰術和戰略元素，讓玩家能夠在遊戲中展現自己的技巧和合作能力。
0,你對於愛情的期待和希望是什麼？你有關於未來愛情的夢想或計劃嗎？希望這些問題能啟發你對愛情的思考和感受，期待聽到你的想法！如果你有任何其他想聊的話題，也隨時告訴我，我樂意和你一起聊天。
0,在社交軟體上看到貓咪，讓我最近有股養貓的衝動，貓咪好可愛，你覺得要養哪個品種的貓？
0,媽媽過年我除夕早上8點就會到了，需要幫你買什麼菜回去嗎？還是水果？我記得堂哥小孩會在對不對，那我買點尿布回去
0,抱歉啦，那個弟弟今天身體不舒服，可以請你幫他代班嗎？晚上六點到十二點
0,你好，這裡是東森購物，我們最近有一款吸塵器在特價中，目前已經賣出超過兩百萬台，你有沒有興趣阿，聽我說，這台吸塵器跟一個有名吸塵器的功能差不多，但是價格是他的半價，錯過這個店就沒有下一家囉
0,你真的很挑食，茄子不吃青椒也不吃，重點是居然連高麗菜也不吃，我要叫爸把你罵一頓
0,女兒，功課寫了沒，寫了阿，真乖，給你獎勵
0,今天在學校有發生什麼事嗎？有沒有被別人欺負？什麼隔壁班的同學找你麻煩，我現在就打給老師
0,媽，醫生說要按時吃藥，三餐飯後吃一次，睡前不用吃
0,我們要先決定去日本哪個地區玩，關東地區嗎？但是我想去滑雪，我投北海道一票
0,你喜歡吃什麼阿，認識這麼久都沒有問過你，我只知道你不喜歡吃什麼
0,我的衣服都是從購物商城上面買的，但是這有個缺點，很容易買到材質粗糙的衣服，一分錢一分貨，還好可以退貨
0,小時候曾經在游泳池溺水過一次，從此我就再也不去游泳了，所以我不會游泳
0,學校附近開了一間新的餐廳，等下下課過去吃吧
0,我喜歡看科幻類小說，你喜歡什麼類型的小說？
0,爸爸，我最近交了一個女朋友，想說時間差不多了，該帶回家看看了，你可以嗎
0,聽說你在那間很操勞的公司工作，是真的嗎？你難道沒有想要辭職嗎
0,我想辭職，可是看在他薪水給很高的份上，我就勸退了，有錢比較重要
0,我很怕你會爆肝，你每個月加班多久，差不多96小時，我如果是你就辭職了
0,我有一個朋友也是像你一樣常態性加班，結果他頭髮都禿了，你要是不想讓自己變禿頭，就跟老闆談一談工時長的問題
0,你覺得老闆是一個好人嗎？我覺得他對我蠻不錯的，時常請客，會好好地跟你講你錯在哪
0,你週末都在幹嘛？在睡覺，我都睡十二小時，起來吃飯繼續睡，睡起來就星期一了
0,你應該看看自己的臉，要不要去找醫美診所雷射，我看我朋友去了之後皮膚都白嫩嫩
0,你現在都看什麼youtuber，我最喜歡看那個英文老師教英文，或者是長頭髮的英文老師也可以
0,聽我說那個老師真的很爛，他會出一大堆的作業然後都不檢討，這樣有什麼用，我都沒有辦法糾正我的錯誤
0,選課到明天截止，你選了什麼，我選的都是遠距非同步的課，這樣我就不用早起上課，好開心
0,我過年跟親戚打麻將，贏了兩千，好爽哦，要不要朋友約四人打麻將，我最近鴻運當頭
0,祝你生日快樂，我最近有點忙沒有辦法給你禮物，下週末我們約一個時間出來吃飯順便給你禮物
0,新年快樂，紅包拿來，祝你健健康康，萬事如意，希望 新的一年你我都賺大錢
0,今年端午節妳打算怎麼過呢，我家有包很多粽子，我寄給你，屆時你只要出運費就好
0,起床了沒，今天老師點名了，你慘了你，他說今天沒來的都當掉
0,我的好兄弟今天在幹嘛，要不要去夜店泡妞，不用管你的女朋友，沒事他不會發現
0,恭喜您，門市繳費單發票中獎了，請持證明至門市先匯手續費後會將發票獎勵換給您
0,您的學費尚欠費1萬6千元，請於規定時間內匯款，不然會收不到書本及餐食福利
0,您有一份包裹，價格是4400元，請先匯款才能取件唷
0,我喜歡你，可不可以給我一個機會做你的公主呢
0,今天月色真美，我在榕樹下等你，我準備了大禮盒要給你，你呢，記得要一起交換禮物唷，對了，你還沒給我你的身分證字號呢，這樣我無法幫你辦理各式各樣的社會福利
